Folder,Filename,Path,# Seq,PTBS,HOTA_05,nMAE,AssA,DetA,TP,FP,FN,TPA,FNA,FPA,Conf,IoU,ImgSz,Buffer,High_Th,Low_Th,New_Th,Match_Th,Fuse,ReID,App_Th,Prox_Th,ReID_Model
test_all_conf20_iou70_botsort8_mask,results_botsort_8_20251220_002807.json,output\test_all_conf20_iou70_botsort8_mask\results_botsort_8_20251220_002807.json,49,1.684324,0.735173,0.949151,0.62566,0.871181,486252,27489,44166,181477372,91615510,19511137,0.2,0.7,1088,150,0.35,0.2,0.4,0.9,True,False,-,-,-
test_botsortprova1,results_botsort_prova_20251220_135729.json,output\test_botsortprova1\results_botsort_prova_20251220_135729.json,49,1.6836,0.7342,0.9494,0.6238,0.8714,486556,27696,43862,180916080,92325321,18990278,0.2,0.7,1088,90,0.35,0.2,0.35,0.9,True,False,-,-,-
test_all_conf20_iou70_botsort8_reid,results_botsort_8_20251220_142936.json,output\test_all_conf20_iou70_botsort8_reid\results_botsort_8_20251220_142936.json,49,1.68048,0.731052,0.949427,0.618328,0.871394,486591,27724,43827,179314985,93942832,19988882,0.2,0.7,1088,120,0.35,0.2,0.35,0.9,True,True,0.3,0.75,models/osnet_x1_0_soccernet.pt
test_all_trap-mask_fast,results_botsort_7_20251219_000108.json,output\test_all_trap-mask_fast\results_botsort_7_20251219_000108.json,49,1.6732,0.721,0.9522,0.5994,0.8746,489633,28987,40785,173712649,101096342,18337765,0.0001,0.8,1088,180,0.45,0.0001,0.55,0.75,True,False,-,-,-
test_all_conf00001_iou60_botsort7,results_botsort_7_20251218_145809.json,output\test_all_conf00001_iou60_botsort7\results_botsort_7_20251218_145809.json,49,1.6713,0.7186,0.9528,0.5949,0.8747,490464,29837,39954,172160890,102880898,16988790,0.0001,0.6,1280,180,0.45,0.0001,0.55,0.75,True,False,-,-,-
test_all_conf10_iou45_botsort5,results_botsort_5_20251216_194328.json,output\test_all_conf10_iou45_botsort5\results_botsort_5_20251216_194328.json,48,1.5377,0.6142,0.9235,0.5133,0.7425,N/A,N/A,N/A,N/A,N/A,N/A,0.1,0.45,1088,150,0.6,0.1,0.7,0.8,True,False,-,-,-
test_all_conf10_iou45_botsort5,results_botsort_5_20251216_194738.json,output\test_all_conf10_iou45_botsort5\results_botsort_5_20251216_194738.json,49,1.534,0.6116,0.9223,0.51,0.7412,N/A,N/A,N/A,N/A,N/A,N/A,0.1,0.45,1088,150,0.6,0.1,0.7,0.8,True,False,-,-,-
test_all_conf10_iou45_botsort5,results_botsort_5_20251216_194815.json,output\test_all_conf10_iou45_botsort5\results_botsort_5_20251216_194815.json,49,1.534,0.6116,0.9223,0.51,0.7412,N/A,N/A,N/A,N/A,N/A,N/A,0.1,0.45,1088,150,0.6,0.1,0.7,0.8,True,False,-,-,-
test_all_conf20_iou70_botsort8,results_botsort_8_20251220_190409.json,output\test_all_conf20_iou70_botsort8\results_botsort_8_20251220_190409.json,49,1.521035,0.735461,0.785574,0.626226,0.871085,486179,27472,44239,181469483,91593297,18758939,0.2,0.7,1088,60,0.35,0.2,0.4,0.9,True,False,-,-,-
test_all_conf20_iou70_botsort8_reid,results_botsort_8_20251220_165446.json,output\test_all_conf20_iou70_botsort8_reid\results_botsort_8_20251220_165446.json,49,1.518348,0.732774,0.785574,0.621482,0.871113,486199,27475,44219,180040145,93031323,19483179,0.2,0.7,1088,60,0.35,0.2,0.4,0.9,True,True,0.3,0.75,models/osnet_x1_0_soccernet.pt
test_all_conf10_iou45_botsort5,results_botsort_5_20251216_150259.json,output\test_all_conf10_iou45_botsort5\results_botsort_5_20251216_150259.json,49,1.0902,0.3242,0.766,0.2827,0.377,N/A,N/A,N/A,N/A,N/A,N/A,0.1,0.45,1088,150,0.6,0.1,0.7,0.8,True,False,-,-,-
